Initials,Event,match kind,#,pos,team,Points,left zone,Amp Auton,Speaker Auton,Amp tele,Speaker tele,times amp,intake,Time to climb,climb,trap,Driver Skill,Defense,Spped,Died,tippy,note drop,alliance partner,comments,
A.A,2023tnkn,qm,47,b1,3603,25,0,0,2,7,5,0,b,7.2,o,0,v,x,5,0,0,0,0,,
GLH,Worlds,qm,47,r2,6911,36,1,0,2,0,9,0,f,0,p,0,v,x,5,0,0,0,1,,
NF,2023tnkn,qm,48,b3,148,25,1,0,1,1,3,0,f,1.9,o,0,a,x,3,0,0,0,0,average bot ,
GLH,Worlds,qm,48,r2,4735,48,0,0,0,0,0,0,x,0,p,0,n,b,2,0,0,0,0,,
LK,Worlds,qm,48,r3,8085,24,1,0,0,9,4,2,x,4.4,o,0,a,x,3,0,0,0,0,,
LM,worlds,qm,48,r1,1771,60,1,1,2,2,5,3,f,0,o,1,a,g,4,0,0,0,0,,
NF,2023tnkn,qm,49,b3,449,13,1,0,1,0,2,0,f,3.3,o,0,v,x,4,0,0,0,1,passed notes entire time ,
LK,Worlds,qm,49,r3,7102,12,1,0,0,3,2,0,b,0,p,0,a,a,3,0,0,0,0,Good ig ,
LM,worlds,qm,50,r1,4624,48,1,0,1,0,6,2,f,0,p,0,v,g,4,0,0,0,0,,
AP,Worlds,qm,49,b2,7451,25,0,2,0,0,3,0,b,0,p,0,v,x,4,0,0,0,1,Not always consistent though,
A.A,2023tnkn,qm,48,b1,694,13,0,0,3,1,3,0,b,0,x,0,v,x,5,0,0,0,0,they threw notes to their teammates ,
GLH,Worlds,qm,50,r2,1108,24,0,0,1,3,3,0,x,0,o,0,a,x,3,0,0,1,0,,
AK,Worlds,qm,51,b3,4920,13,1,0,3,2,4,1,b,0,p,0,v,a,4,0,0,0,1,,
GLH,Worlds,qm,49,r2,9432,24,1,0,3,2,7,0,f,0,p,0,a,x,3,0,0,0,0,,
AK,Worlds,qm,52,b3,9015,13,1,0,1,2,3,1,f,1.9,h,0,a,a,4,0,0,0,0,,z
RY,Worlds,qm,53,b1,4028,37,1,0,2,5,5,0,b,8.6,o,0,v,x,4,0,0,0,0,Auto de hikiuchi,
RY,Worlds,qm,54,b1,321,25,1,0,3,6,4,0,f,1.2,p,0,a,x,3,0,0,0,0,Cool LED,
AR,daly,qm,52,r1,9427,48,0,0,1,0,0,0,f,0,o,0,n,x,2,0,0,0,0,lobbed- mid bot- kinda got bullied,
AR,daly,qm,54,r1,980,36,1,0,2,0,3,1,f,0,p,0,a,x,3,0,0,0,0,not bad but not great ,
RY,Worlds,qm,55,b1,9659,1,1,0,1,0,0,0,b,0,p,0,a,x,2,0,0,0,0,Climber is broken,
ZC,Worlds,qm,54,r1,2052,24,0,0,0,0,2,0,f,0,p,0,a,x,3,0,0,0,0,Feeder bot,
RY,Worlds,qm,56,b1,4522,25,1,0,4,7,9,1,x,2.8,a,0,v,x,4,0,0,0,0,,
ZC,worlds,qm,55,r1,694,36,1,0,3,0,2,0,f,2.4,s,1,v,x,4,0,0,0,0,fed notes for most of match,
AK,Worlds,qm,56,b3,8153,49,0,0,0,0,0,0,x,0,x,0,a,b,3,0,0,0,0,,
AK,Worlds,qm,55,b3,3538,25,1,0,3,1,3,2,f,2.2,o,0,v,a,5,0,0,0,1,,
AK,Worlds,qm,54,b3,5534,1,0,0,1,0,7,2,b,2,o,0,v,a,5,0,0,0,1,,
ZC,worlds,qm,56,r1,422,12,1,0,0,1,2,0,f,0,x,0,a,x,2,0,0,0,0,,
RY,Worlds,qm,57,b1,9134,13,1,0,0,0,0,0,x,12.6,o,0,n,a,2,0,0,0,0,Smtg went wrong and was playing reaction ,
AK,Daly,qm,57,b3,9432,13,1,0,4,2,3,3,f,0,p,0,a,a,4,0,0,0,0,,
RY,Worlds,qm,58,b1,2869,13,1,0,3,2,3,1,x,1.8,a,0,a,x,4,0,0,0,0,,
ZC,worlds,qm,58,r1,649,36,1,0,1,0,4,0,f,0,p,0,a,x,4,0,0,0,0,,
AK,Daly,qm,57,b3,9432,13,1,0,4,2,3,3,f,0,p,0,a,a,4,0,0,0,0,,
HH,worlds,qm,53,b2,9400,25,1,0,2,0,3,0,x,0,p,0,v,x,4,0,0,0,0,,
RY,Worlds,qm,59,b1,368,37,1,0,1,2,1,2,x,2.7,o,1,a,x,3,0,0,0,0,,
ZC,worlds,qm,59,r1,7102,36,1,0,2,0,3,1,f,4,o,0,a,x,2,0,0,1,0,,
,Worlds,qm,51,r3,7501,36,1,0,3,7,2,2,f,0,x,0,a,x,3,0,0,1,0,,
JR,Worlds,qm,52,r3,7157,24,1,0,3,7,2,2,f,0,x,0,a,g,3,0,0,0,0,,
JR,2023tnkn,qm,53,r3,4403,24,1,0,1,2,4,1,f,0,p,0,a,b,3,0,0,0,0,,
Jr,2023tnkn,qm,54,r3,1574,36,1,0,3,1,4,1,f,0,o,0,a,b,3,0,0,0,0,,
Jr,2023tnkn,qm,55,r3,1902,60,1,0,2,5,3,1,b,0,p,0,a,a,3,0,0,0,0,,
JR,World,qm,56,r3,2811,48,1,0,2,4,2,2,f,0,h,0,a,g,3,0,0,1,0,,
JR,World,qm,57,r3,1771,60,1,1,1,6,4,2,f,0,p,0,v,a,4,0,0,0,0,,
JR,World,qm,58,r3,6989,36,1,0,1,0,6,2,f,8.2,p,0,v,a,3,0,0,0,0,,
JR,World,qm,59,r3,9480,24,0,0,0,2,5,2,f,4.3,a,0,v,a,4,0,0,0,0,,
JR,World,qm,60,r3,1108,24,1,0,3,0,0,0,x,0,x,0,n,b,1,1,0,0,0,,
RY,Worlds,qm,60,b1,1538,37,1,0,2,8,6,0,x,17,o,0,v,x,4,0,0,0,0,Shooter is real cool,
ZC,worlds,qm,60,r1,449,24,0,0,1,5,3,0,f,3,o,0,v,x,5,0,0,0,0,,
Ap,Worlds,qm,61,b2,4735,49,0,0,0,0,0,0,s,0,o,0,n,x,1,0,0,0,0,Picked up nothing and did NOTHING,
HH,worlds,qm,54,b2,910,37,1,0,1,2,0,1,x,0,p,0,v,x,5,0,0,0,0,,
HH,worlds,qm,55,b2,5934,13,1,0,2,4,1,0,b,0,p,0,a,a,4,0,0,0,0,,
HH,worlds,qm,56,b2,148,25,1,0,2,0,2,0,b,0,o,0,a,x,4,0,0,0,0,,
AK,Daly,qm,60,b3,103,13,1,0,4,0,1,2,f,2.8,a,0,v,a,4,0,0,0,0,,
AK,Worlds,qm,62,r2,1700,24,1,0,0,0,0,0,x,0,p,0,a,a,3,0,0,0,0,,
Ap,Worlds,qm,62,b2,9624,37,0,0,1,0,1,1,b,0.9,a,0,n,x,2,0,0,1,0,Tragically bad,
LM,worlds,qm,62,r1,1986,48,1,0,1,3,2,1,f,0,p,0,a,g,3,0,0,0,0,,
