Initials,Event,match kind,#,pos,team,Points,left zone,Amp Auton,Speaker Auton,Amp tele,Speaker tele,times amp,intake,Time to climb,climb,trap,Driver Skill,Defense,Spped,Died,tippy,note drop,alliance partner,comments,
Jv,Worlds ,qm,8,r1,9642,24,1,0,2,0,0,0,x,0,x,0,x,x,3,1,0,0,0,Looks cool but dead,
Jv,Worlds ,qm,7,r1,9015,37,1,0,1,5,0,0,f,0,o,0,a,x,3,0,1,0,0,Amp,
Jv,Worlds,qm,5,r1,131,24,1,0,1,2,2,0,f,2.2,o,0,v,x,4,0,0,0,1,Good feeder bot,
Jv,Worlds,qm,4,r1,27,12,1,0,2,6,2,1,f,2.1,h,0,v,x,4,0,0,0,1,Good at amp,
Jv,Worlds,qm,3,r1,5534,24,0,0,1,0,3,0,x,2.6,h,0,a,x,3,0,0,0,0,Intake takes a long tim,
Hm,Worlds,qm,24,r2,1506,48,1,0,0,0,2,0,f,0,h,0,a,x,3,0,0,0,0,,
ap ,worlds ,qm,24,b2,1771,13,1,0,0,5,4,1,b,1,o,1,v,x,5,0,0,0,1,,
NF,2023tnkn,qm,24,b3,649,25,1,0,0,0,0,0,f,0,p,0,v,e,4,0,0,0,0,intake broke like it was fully bent ,
ap,worlds,qm,27,r1,3836,12,1,0,0,0,1,0,s,0,o,0,n,x,1,0,0,0,0,Garbage,
SS,worlds ,qm,25,r3,7501,36,1,0,3,0,4,0,b,0,p,0,a,x,4,0,0,0,1,,
